IDETOR,IDEAPO
91108115D,88717377Y
91108602J,02087835X
91111108N,62286578W
91113537A,68435408N
91114669P,47070194G
91114976Q,66695856L
91115047H,30298106E
91116616T,47575139F
91118077N,98917839Z
91118420X,79816696A
91120376B,16828162M
91123371Q,00456608N
91124084Q,55781046C
91125813C,57119395E
91126101D,96736028Y
91126436E,93854063X
91127233Z,43141962B
91129952L,20370801T
91131783X,01797050Z
91135343M,17439324B
91135510B,71272126W
91136445A,91970248X
91137580B,87245750B
91138270B,21487828D
91139810X,45654320X
91140289Y,07480505P
91141185M,06935085X
91141766B,76116583S
91141838Z,35684771H
91141912L,96364850W
91142823X,60655485T
91143351D,06229434E
91145423B,05389975V
91145463M,18366191R
91145668A,22688393C
91149324W,69091705G
91149932N,24725626M
91151413K,05495832M
91151586X,58935508D
91152321D,33444551K
91152405R,22807937X
91152410Y,51444617B
91152996V,68188873Z
91153573L,49914239F
91153887B,36546729M
91154461X,29720139E
91154629V,66672004H
91154683W,11657474Q
91154985M,78204513M
91155608F,54385728C
91155983Z,70371080G
91156484D,12748549V
91156776W,84021433H
91157844N,23655814S
91158870A,08091430F
91159071C,91054487V
91159342S,89364989F
91160389G,64523361N
91161393L,31542476T
91161888P,66224591R
91164672D,07913156Y
91165402A,92064394V
91165783Q,99957144H
91166278M,40754129S
91166548E,30613986C
91168158E,61839322G
91168214D,38877065G
91169188V,30624165X
91169445K,08424457V
91169543G,98486757K
91169623S,13917201Q
91169942N,75666087C
91170013Z,22905920J
91172170D,90379881R
91174278R,88400087R
91174424D,47359136C
91175851X,29999061T
91176197B,97893353V
91176669T,95876206Q
91178732Q,46031169G
91178914Z,74636710P
91178981N,06512210J
91179984A,50011086R
91180245B,10422806B
91181414F,95293802H
91182586Y,08406003D
91183635C,99900712M
91184426Y,42563788B
91185399J,69684976J
91185758G,75797302C
91188590F,25050289T
91188902C,29042468T
91189125J,52157375E
91189208G,90946956B
91190651K,85850373K
91191203K,65015507G
91192794W,45402500V
91192904C,47389338T
91193747N,67037112R
91193804T,79951268W
91194237L,16587933B
91194622J,77071300W
91194992S,46016866F
91195554W,25519896Q
91195598T,92813255K
91199893V,13368946N
91200034C,79962747G
91200664Y,09763078S
91203131N,48598876Z
91204059C,52653634X
91204788J,33637037C
91208524T,08300900Q
91209495M,68293653Y
91211807V,97609602V
91211909G,21315668G
91212499L,38737160P
91213129M,51297786N
91213560E,05895004N
91215273X,66014679X
91217379T,64812602M
91219648S,35034516L
91222687H,34377196Q
91223500A,09892202V
91224747P,51278279D
91225356L,24886841J
91226657D,73004644E
91229399Z,78438392C
91230562G,28039757C
91231107C,54064260T
91231909V,20383811S
91232409B,85862149K
91232499D,41758157R
91233212D,95128118A
91233247K,68910642C
91233337L,55488513R
91233383L,83261986P
91235129V,49149043K
91235575A,78481702K
91235647Y,55738095X
91237245V,24185128F
91239289Z,05455546S
91240131M,70753930L
91241254R,01021933C
91241373M,52507605P
91241844Q,27504295K
91242898N,61458142A
91242995V,57970220P
91244439N,84401766T
91245427B,94700415P
91246067F,10371058J
91247200J,02171271W
91247958N,71832160D
91248490S,09132285C
91248751T,70742646M
91248848M,02379727D
91249484C,84752999T
91249638J,38133909R
91250557N,48528700B
91250928S,55952485V
91250996Z,37642832C
91251116L,80565671Y
91251421W,77577880F
91251624K,66934745F
91251935X,14974942X
91252781M,05870661A
91253151F,36008147Z
91253265Y,33753914B
91253481S,31834957J
91253490R,26817957A
91255150M,13472974B
91256986R,20955846V
91257002V,07963732M
91258748S,92925826F
91259561T,14748697Q
91259873J,47235503N
91260859X,12895740P
91260882X,91220054F
91261323Z,05895217H
91261794W,79407371D
91264380N,98723225A
91265764Q,85004194N
91266038Z,74572180Q
91267610E,97564551T
91267639M,94503667W
91270446Y,84706822F
91273833N,54832534M
91274198D,00490080L
91278051K,33807652K
91279170J,87435709J
91280580C,22668513N
91283185A,81373298B
91284451G,02426990F
91285334J,85029741Y
91285600A,34884401W
91286330C,71025511Q
91287282Y,61068147L
91288122H,75383641Z
91288883C,78757337R
91291421M,44919004G
91292352Q,40469962J
91293057P,55789267F
91296228M,87178317Z
91298313C,33162979S
91298459M,14653745P
91299477B,25772004K
91302118F,03938729W
91303405Y,50398513Q
91303654W,76231259J
91303701A,46199579P
91305546P,52068550T
91306270L,82453309B
91308604F,48246929J
91309081R,20818735D
91309179F,70493191P
91309313A,70445190P
91310796Z,37289232E
91311000B,75775550A
91311393J,31808902V
91311423C,30783239Q
91312964C,74113607V
91313573P,40289372L
91314116E,88366056X
91314658N,15657572T
91315086A,84415083T
91315448C,52209532S
91315611E,68226070C
91315764Z,80554659B
91315972S,44599844S
91316085J,57438809N
91316211R,17113862E
91316287P,47582540W
91317508X,18879853G
91318411Q,20582563R
91318980X,04204301Q
91320546N,89236438A
91320800J,77744361Z
91321548W,16762992V
91322089Z,01730004J
91322683X,27452734A
91324772Y,32288981V
91324901C,07867563E
91326609A,41757048L
91327418F,33310905M
91328175M,38293814X
91328853Q,14373882D
91330024Z,42428933M
91331035J,21827626M
91331660V,56658879N
91332432F,03512045Z
91334479F,69855383J
91334733P,75286439X
91335021C,80707455H
91335185T,96935357V
91335209R,12709007N
91337003R,36063024J
91337131Z,06256910J
91337722F,96293084L
91339313B,19104583R
91339813M,98535483X
91340276P,85036853B
91342035L,36258688Q
91342317W,26558841M
91343741T,39480596S
91343860G,32865370A
91345916J,95121192T
91346508F,66064581W
91348449Q,19155725Z
91348549R,83238671S
91349068Z,33298480T
91349114Z,89399452Q
91349466K,39452840C
91350654J,49571517P
91350670Y,07914543J
91350789X,25817638T
91351272X,77717700X
91352210M,25274351L
91352835D,96443938Q
91354198S,01836322W
91354795Z,76966989L
91354908N,00284389V
91355043D,67678237R
91355825D,18800858Z
91358242B,83583112P
91358445F,02958858T
91359397Q,04281091D
91360448D,47521921B
91361216H,66392099T
91361340G,01854729D
91362436L,61173167K
91362475N,98951757F
91363509B,42169106D
91364140K,44844714G
91365438P,99513731E
91367609V,85366056S
91368203J,03678144F
91371052X,35334011P
91373169B,03972578H
91374013G,96133041X
91376356R,70781333Y
91376654T,19479565Z
91377835P,00456150Z
91379446D,83473199N
91380771T,32192329B
91384245R,76303937B
91386068F,59052896M
91388160Y,24971010W
91388382K,22045988M
91388898P,03122300G
91389993E,63168562M
91391287M,30146245F
91391937B,71466024X
91391942Q,00641826B
91392081V,22649408C
91394449Q,38840947L
91396484G,33716808G
91396966A,23345513F
91398208A,64344371P
91399142V,57565511F
91399426W,17664244Z
91400105Z,09315963C
91400636Q,46194898L
91402148X,68102794R
91402986C,08117160T
91404357B,40186524G
91406257W,97410477A
91406795B,60290687M
91406976P,81393711T
91407331H,60796407R
91407599X,42654985J
91407602J,78641522Z
91408067H,70579597A
91409040W,98445895F
91409929V,98940404Q
91410383B,97658400D
91412028T,25084860W
91413608Q,89998077C
91414461H,59560083L
91414764E,95319019G
91416915B,84682879F
91417003F,77585059X
91418456B,10912244D
91419330B,14730590X
91419625F,65175579L
91419642R,54494501A
91420415S,31453304E
91421305P,81809298T
91421758R,24108248Q
91422035W,84175836E
91424259H,29816685Z
91425051M,82220469T
91425674F,84636662C
91425818J,02704994X
91426886T,55855796C
91428708M,36743738L
91428826P,07487384X
91428923J,39237005V
91430400H,00345968W
91431112V,80319032L
91432245T,72916128X
91432437P,34838644S
91432611K,86689209R
91433129X,77506782W
91433490A,70937832J
91433660N,18398506R
91434330S,08173035P
91439760V,25026151N
91439850S,23133348V
91439905R,32425879L
91442410E,32479376H
91442806G,24160731J
91445493T,19360186M
91446177V,34827421Q
91447483N,59369322C
91448592V,63517903E
91448620E,68724553R
91450005G,24236646M
91451688P,25563087J
91451806B,27461631E
91452288X,69015601F
91452784T,87501572G
91456014X,69625278T
91457922D,20253804G
91458085B,85618423A
91458918Q,41537942B
91459638T,27642163G
91460176D,80833977V
91460177X,19401010G
91460552V,55132700K
91460606W,77629703B
91463130L,73730089R
91463708E,32561710N
91465849R,56662447S
91466434B,22692794M
91470676K,06226311G
91471335J,42245953J
91474575X,59057665J
91474795T,37191944R
91474915M,93722264R
91475435L,40233439E
91475568Z,51526595V
91479038B,89286385V
91479334P,16166309T
91480511N,59204761R
91481642Q,06067870X
91481647K,06512987P
91482466N,77784268Q
91484536N,43519695S
91484648D,81449504H
91486388R,20542433Y
91491020X,31241367F
91491567M,31036472L
91492482T,71162137E
91493598N,02389497G
91493832Q,29009773B
91495770E,67235995A
91496194D,15194671C
91496326A,48362620Z
91498591Z,97896377M
91500214G,46364253W
91501247W,31884663Q
91501321F,90774818M
91501408W,56338519L
91501790Q,49784082F
91506277H,02695309P
91507432T,56671335W
91507538Z,82215684E
91508816G,00277303S
91509496V,12139910G
91509964W,49366232K
91513263N,19991503H
91514171T,75450847Z
91514445K,11027149Y
91515603Y,36853529P
91515842S,81149825Y
91517349G,07275803Y
91518800Y,17584080M
91518825P,32565513C
91520715N,78455457L
91520907C,73243942M
91521430Z,07240127A
91522335E,20731956D
91524875D,82067446L
91525385J,85049951E
91525523J,98908188T
91525601E,09026885Y
91525774B,41481086B
91526134A,77658524J
91526368F,29269690M
91526708W,65023393R
91527281T,05669621Y
91527761C,17573849D
91528042W,55724635M
91528325D,23696637J
91528957C,21310444R
91531627E,74273990K
91531726Y,07466575Q
91534498H,41679358T
91535009T,93332579M
91535316P,07143940W
91535427G,13625928S
91535472A,73904595Y
91535601V,85566026T
91536372Y,12874476L
91537989J,11735417N
91538313S,81579135K
91539344B,45148232Z
91539389X,04276247H
91540938H,01224249M
91541186J,87807296N
91541562K,15423269K
91543419S,24501894V
91544057D,42803825C
91545457Y,91655045E
91546681B,66258183J
91550389Q,75399524G
91552765T,41895191R
91553555P,37306188G
91556185Q,43693295B
91556611M,36799675C
91556876V,27495893Z
91557260X,28991312L
91558558C,50828014S
91563554W,90854909X
91563941K,50569411R
91567006G,55501774Z
91567752Z,28874579B
91568545W,33194915G
91568579J,45939488R
91569329G,48880535S
91571573V,99795430V
91573247N,82025873F
91573944L,20445464M
91574039E,02076604A
91575825Z,25529897N
91575948E,72480260S
91577401A,80043582V
91579335M,36584589F
91580363K,82389851X
91580508M,21826904L
91581662D,12086788N
91586642K,44794811B
91588644E,33356089V
91588942K,09548927V
91589644X,67025183D
91590240P,35827866F
91590647R,08184492B
91590756H,81877822F
91590916V,14986165D
91592057P,31951362S
91592096R,94122676Y
91594969E,45551167N
91594982N,53123026H
91594998M,11556385N
91595392P,25472949N
91595800W,57363032C
91596151P,09886847K
91598780S,45601169N
91598966V,74967269B
91599180R,22254751C
91599288V,87384718J
91599550A,90358082Y
91599974J,88835451K
91605897W,62901807G
91606715S,59532354M
91607798V,32387175R
91608474A,04883942F
91610447K,19793841H
91610798G,61406961C
91611145Y,48428445J
91611510A,50669440A
91612782X,20392578L
91613045C,29362531H
91614232B,18620906Z
91616199T,90146960R
91616208D,17147524N
91616691D,56468252D
91616803Y,25296023W
91616984A,23396957T
91617361N,40649477J
91619654M,27374908D
91619770Y,20949309N
91620552Y,39186911V
91620935K,18896088R
91621013F,53022996S
91621706X,78983660G
91623196M,08106166T
91624012Q,55520480K
91625408D,60133050X
91625453P,10492420G
91626023A,69875641P
91627247P,84841974B
91628726S,75969128J
91629311W,65168635K
91630002A,97170197G
91630627F,53932396H
91632390E,03160299F
91632877A,61029873V
91633516K,39037447F
91634085S,71312331A
91634440W,68917283Z
91635143S,39189927C
91635905H,30666859Q
91637728R,05538405M
91638074W,37148521W
91638390L,06751739C
91638569Z,21453083V
91639702C,53814628X
91640738K,53348337K
91641116P,52664252W
91643204A,87639533B
91643655V,51036994V
91644780S,39638259J
91644968L,37353356E
91647153L,24369687Z
91647243V,61415973Q
91647903X,65932738H
91649913L,86737996M
91651045R,44443799W
91651099D,03980981A
91651748Z,61266788D
91652030C,08256208J
91652174A,36047976F
91652299J,87696626H
91654023N,29323821V
91655771N,41832575Z
91656647Z,25212549H
91656958A,87794322X
91663361N,83856724N
91663492M,10597337H
91664180A,85177937J
91665195Y,44261395B
91665369L,68158883Q
91665464E,35755950N
91665508C,08988958Y
91665684N,43535017L
91667873Q,71297243A
91667914B,37088637X
91668186F,47775379D
91669130P,49663115C
91669505S,22210921M
91670020R,56128209K
91670966G,53313181D
91672342T,13521554S
91672485M,59504940F
91672769J,18862197N
91672881X,24526660N
91673435N,84864892K
91674460W,25384218S
91675418V,87869149H
91676058J,87610729A
91678627Y,56041832D
91679030H,15553673S
91679915Y,06109372C
91680587B,25071754Y
91680604M,25288216S
91682970W,33868926T
91688944L,95112768V
91690185H,98420474R
91690541Y,01242268S
91691214N,64329579M
91692373K,95371973N
91692476D,68395556L
91693367A,66791820G
91696252J,67524716M
91698721K,16963983B
91699098F,22925515N
91700187S,14916633Y
91701983V,35972947G
91703219B,82312735J
91703256W,84296054L
91703490Y,94517670K
91703655X,46325182P
91704047B,76578535N
91705037N,49224094T
91705158H,50516152X
91705603A,79793632P
91705693R,02387891P
91706229P,81774470V
91706759D,96502020T
91708447H,78401607N
91708804F,82422206G
91710656L,59182865R
91711818P,74890223S
91712114M,68935205L
91712430E,78599046L
91714267L,84474368Z
91721248P,00648872L
91721694V,16754807C
91722765F,63453899G
91722806W,50260449K
91724334N,91693398B
91724854A,12847277Y
91725287E,42742529L
91727886E,19327354V
91730303R,05104470B
91730480V,13936579M
91731132W,75710903D
91731384R,76339931X
91732264F,04333376S
91733041W,09645621L
91733892W,02481630E
91734202J,99448316L
91734555K,46801498V
91736016X,64984710G
91739087E,96996992N
91740297J,47601850S
91741094M,72680109V
91742836E,36377566F
91743324G,13758197B
91744657A,35700631P
91746051V,29352008Y
91746262K,53111943K
91749369T,16140160W
91750303Z,49156521R
91750773R,25067112X
91751109S,57798151W
91751452J,37039784D
91751585P,58350018F
91751689C,67717867W
91752227Y,60102101L
91752810Z,49686981N
91753696A,54004101D
91754484D,66804879E
91755198X,59313028F
91755443W,71894529W
91755563F,32271964C
91755683N,27611642G
91756429E,29658770V
91756694B,36733536Y
91758335L,46040561N
91758685R,00930663Z
91758771H,52213742Q
91759486C,78269668R
91759803S,95722552W
91760241Q,29630272Q
91760468J,96037269X
91761002H,35818540L
91762512X,42853150X
91762570E,37626535F
91762760M,94814829C
91764120P,28094877D
91764719D,21153905T
91764737G,18395264W
91766580F,41396445X
91768176Q,52287500J
91768547L,93584888G
91770440A,95419860J
91770616H,09310540W
91771721L,58571610V
91771868M,99869090P
91772814P,78639741G
91774380X,86394908P
91774634B,75741933N
91774652Y,59976910V
91774790Y,13254625R
91776427X,08190955B
91776849H,07336089D
91777059K,71936358V
91777068F,70888086Q
91777734Y,30396883Z
91780286M,15462917V
91780301C,08606067L
91780796D,61611807M
91784942S,31095369J
91785146N,56251225X
91785516Z,89754896H
91787127S,23453118H
91787558D,83714964R
91788242A,79064156T
91789013S,92713887J
91789444D,93767896R
91790969Q,13900764R
91791375P,25401188B
91791417G,58472103P
91794500M,96675264P
91794651H,46664255S
91797712C,17823623A
91797773N,75321030D
91799036X,45673732X
91799163E,38889663K
91799171F,70980180H
91800699V,73857971A
91801192G,88944749T
91801637N,35725576K
91801896H,24976674P
91802697Z,67620776V
91802775T,94928095B
91802879N,36424749V
91804736Y,44693596L
91805215W,23889074D
91807008R,33587059K
91807420E,28637022K
91809890P,73235313R
91810537B,95585045N
91811708D,94900104B
91813136B,57697774C
91814256G,16430862F
91814866Q,17476686K
91816462W,70461214R
91818509W,50174449H
91819093B,16289121S
91820084J,13490885M
91820135H,81906842R
91821950Q,14177350N
91823178W,83740915P
91823241L,35277169E
91824193M,73873032E
91827315E,69074198T
91829236B,41247488R
91829431E,12916969P
91830258K,75126038B
91830364N,36503517X
91831058Q,52314077W
91832082M,00980983X
91832547X,24722957G
91832798P,39046138G
91834200F,92876129J
91834441H,97962719S
91835275R,35279774M
91837138R,16566199N
91839380N,72134990K
91839497Z,84268585N
91841052M,79781833P
91841966E,02695804C
91842470C,67996327R
91843254E,21304036X
91843430Z,07415444Z
91843867Z,67430310Z
91844825Y,85822120N
91845460C,69620232Z
91845818X,40471993C
91846239V,97630020B
91848547W,70566011X
91849742R,39493886B
91851793M,05317122M
91852831P,62964029B
91853204J,12688215N
91853546X,61574608C
91854359H,01964635K
91854915E,16129212W
91854959C,94332618G
91855907W,23899577R
91856043T,94826268M
91856159R,68877951N
91856830M,50511465S
91857889Y,34567646A
91858008X,83375504K
91858257Y,42180862N
91858674D,35669046W
91860520S,50583898K
91860682Q,02095025R
91861089D,77062915N
91861704A,07733769L
91863097Q,30920201J
91863450R,63362441V
91863465Q,29860549V
91864338S,62644739F
91864384S,63222761Q
91864778H,19862140F
91865105T,06240826Y
91865482D,45664941M
91865566R,06473956P
91865936A,90543025Y
91868703X,04201270K
91869017W,25882787J
91873317R,15429116A
91879760G,17443041W
91880101T,92519996N
91881201L,82825373G
91882436N,79746340G
91883008D,43253478T
91885374Y,73891986R
91885499Q,67323665C
91885685H,12591060D
91888371J,99051459G
91889426X,40272020D
91889545Z,31794811W
91890308H,04773795F
91890998H,10672221Z
91891143W,12345280F
91891981N,12657416X
91892731A,75119966B
91893989L,84717367H
91894508D,65804448E
91896767Z,47550084E
91898373X,41843005W
91899014F,34411762J
91899475P,79536161E
91899878C,39368508Y
91900436A,87326672L
91900808F,46477923Y
91901427M,92086539J
91903966Z,98890286S
91905560K,02006010L
91906268Q,45507560J
91906553W,36120410Z
91906881P,48726815G
91907811H,81835904H
91909618P,61913586R
91909683G,70891757F
91910844S,47901281D
91911416N,13761190Z
91911894F,57283769S
91912672A,46121483C
91912893V,86802091E
91913425C,23381173V
91913711F,70879358M
91914265D,32589367T
91914466A,28408549F
91915670B,90369164W
91916283A,39026268Y
91918828H,47163078Z
91919698Z,08277860E
91920358F,04306430W
91920975A,07943959N
91921852Y,16034592G
91923038L,39321416H
91923998J,30086078P
91925757R,26999871X
91926762V,69037685B
91928736J,28406654K
91929236F,10876576Z
91929346W,97709315W
91932306H,28316882H
91934506X,82717063R
91935499Z,48047501H
91940272A,19985489F
91941644H,36410681W
91942645F,04757962K
91942796C,82993688M
91943298Q,09030843P
91943308A,50382186L
91943954M,26821906L
91944969P,70065272G
91945568D,79037397J
91946806M,73650019V
91948506A,96709785Y
91948635V,32200357N
91949860T,79135994D
91950790X,07025248J
91951604L,00185504D
91951635G,65026349J
91952524L,63653042J
91952531A,09103703G
91952948Y,56965556F
91953873B,67329957X
91955922J,61302869A
91956547V,37607859F
91958108Z,22142589Y
91958219X,91893376G
91960907F,93638054V
91962685Z,27431332Z
91962688V,21664057N
91963040R,14589178W
91963712Y,82657375K
91965045M,48685776C
91965773C,96774445J
91968376R,82954421E
91969730K,18076188M
91970675T,84537230V
91970836T,95499071N
91971079J,56311322P
91973870K,65585591X
91974590M,29262681B
91975307D,93830432T
91975383Q,77735662D
91975509G,16539838D
91975785G,70341496K
91976552N,67932994X
91977658Z,58352234S
91978197R,15129525X
91978540E,16688841H
91979101P,42031667H
91980333K,22530168N
91980372Z,96747022Y
91980386M,92065819Q
91982977C,74449094A
91983924R,00715982S
91984811Z,58275927E
91985833R,43316719Z
91985888X,77142962L
91986073B,75098359R
91986241H,84384849B
91988052N,73441107Z
91990846T,57088819J
91991110B,38607101Z
91991283T,89224334C
91991626K,41790888A
91991766T,18918739C
91991890D,81663237N
91992136W,26421892K
91993016P,81392738Q
91993064X,11477298E
91993165L,71122015N
91995415S,86828861C
91998338V,92267732N
91998754L,55486764T
91998915L,33649920T
91999214L,59979976R
91999927L,17300971A
92000760R,06199694K
92001195E,89583139W
92002536Y,09764682D
92003040G,99749480K
92003492L,02925009F
92003562C,70951163G
92003573P,29032257R
92004781C,76488642A
92005067F,31509604H
92006190A,69501994L
92006879W,59073343M
92007677H,21871936V
92007696Z,73185076L
92008003E,11437760K
92008994R,52946555A
92009097N,26338272Y
92010374R,94110790B
92010598H,09711330V
92010844B,61371486B
92012425M,39525137M
92013505G,56357496K
92013965G,52463547H
92015306B,92628991X
92019085H,97944132N
92019190P,63311490B
92020072Q,04461153G
92020079T,62243431A
92024069B,62493307F
92025082N,60096143H
92025241X,11948547R
92027265X,89427591A
92027358B,09122369V
92028509N,98993329H
92028613R,39047992H
92028846G,99675014Y
92029981N,77217021H
92031204Q,25228662P
92031561M,12497392C
92034035H,54821085X
92034580B,21929406X
92036037L,57072733G
92038186Y,99956255A
92039031T,19125513R
92040052D,37200729T
92040113R,52656032Q
92040368A,05960096Z
92040427Q,15215102G
92040849R,83788556Q
92041564A,25207739S
92042221Q,29516897P
92044593L,90584057Y
92045102E,18925671Y
92046640L,48991543W
92047587T,91145317C
92047836L,02458729Y
92049811Q,52153723G
92049946J,79846326D
92050057D,55709954K
92050619L,87372384F
92051171L,54252308T
92051537V,12210366B
92053270W,94431164H
92053758F,02952500J
92054571S,46404124Z
92054871Q,77192558G
92055900X,06379350R
92056569N,90398593Z
92057574M,59894089L
92059115M,31790008Y
92059760Y,00043312A
92059921Y,47092484F
92061574A,46943440A
92062829Q,78797377K
92063698B,59635082S
92065680S,99880077R
92066028H,41571344V
92066113B,38961448T
92067291Q,37911935T
92068240E,81188031D
92068256S,41263829N
92068841W,18926343B
92070037W,95331758R
92071324R,45675142V
92071658J,60543598P
92072419S,23444176T
92073103D,54907813M
92074245R,42956355Z
92074827P,51621194V
92077020Q,14452927A
92081527S,86422714F
92083307R,23508692R
92084444B,29607575C
92084487P,85614442R
92085996E,35542383T
92086708K,59968678L
92086949D,47677773S
92088145D,10769271G
92088394M,34147588V
92088949P,83603027M
92089028H,52351275D
92089272D,66595777J
92090121F,22599707E
92091376C,53382561K
92091566A,40104825R
92091875J,68918870Z
92092993G,29719613W
92093094J,78457835M
92096446F,91550355M
92097014T,97981419Q
92097060T,67752523C
92097910E,78527839C
92099504Y,42846751M
92100995W,54602611J
92102725F,76528218L
92103631Q,47338022C
92103664A,31256040Y
92103901X,49607390R
92104460V,06362224X
92105696B,18109301K
92105943M,42051825M
92106061P,22872589D
92106317B,27820900P
92106887Y,31530833H
92107364T,14538478V
92107975J,30466902K
92108243M,12135113Z
92111026M,64615757V
92111603F,22255910Y
92111638L,60841267B
92112535L,41821069P
92113786M,82389467V
92114503D,60963597G
92115490F,82000559Q
92116835H,98143376F
92117523Q,64006123K
92119603A,69018477P
92119939V,57949503Z
92120592A,65163622E
92121470F,56317227W
92123222B,51195720C
92124309V,53070056V
92125730N,44219504A
92126422Z,12973516K
92129096C,74797187Z
92130545C,61695291E
92131340X,91279814J
92132336V,32741738L
92133467K,16276437G
92134276W,43280472S
92134540J,03929826T
92134597R,40448687J
92135222M,64088389Q
92139680R,23030862L
92139757D,34185210B
92139825P,75695888J
92140071R,03859950K
92141733F,88772356S
92142776S,10278601Q
92142863X,15028390Y
92143103C,65684662C
92143558S,76637289R
92144932D,75997163B
92145648N,01191272X
92147881Z,04249668G
92147942Y,95525019Q
92148112S,87077954T
92148887P,94797512E
92151626X,92857440T
92151970D,17527414B
92152433N,58177342S
92153141F,82879159Q
92153168B,60965776K
92153359H,31602053F
92153560N,19265932M
92154227N,76233373B
92155374D,31440760J
92158757B,26706797W
92159230R,57664789V
92160275B,48706315C
92163170P,18298142D
92164402K,84308182A
92164449E,97776871F
92164500G,96119925G
92164924Z,86122332M
92168398S,57386860C
92168895Y,93809488D
92169325E,96110963N
92172669P,09904967V
92172740X,75740232J
92173087N,79411857X
92173189E,39580031K
92173321Q,21329188T
92174265V,56249387N
92174495V,64280925L
92175195G,37925259F
92178595T,62050167P
92179045J,07603846T
92179235L,73282279R
92184761W,98200406C
92184934Z,62053247Y
92185452A,45913729W
92185727W,27301728S
92186875T,85248990L
92187079C,19205313Z
92188208E,31899934S
92189878J,33041600F
92189897D,80545056E
92190020V,92360443X
92190274H,10701316Z
92191957E,83488022T
92192787R,43919422W
92193782F,04593877H
92194745G,29452346H
92194828H,05677794Z
92195468Z,02161497A
92195661T,86965108S
92195764B,44810869S
92196537W,89512767X
92198027C,56194205F
92199062C,40317520S
92199459A,06766054Y
92199896A,51850186K
92202506Z,27744852K
92204359G,55733124F
92204379R,53933029F
92204696L,31925067D
92205091T,22139864H
92205515X,17303960W
92205529R,80154443H
92206269M,89482059F
92208388P,23644269Q
92208569M,84795335Q
92209933N,80113378P
92213299C,63346543N
92213412H,94420242K
92214612E,93519276B
92215113V,95033917X
92216200T,29404147G
92217356Y,64961269T
92218401Q,44468533B
92219056G,02642753F
92220130C,40621723C
92221040X,09571993Z
92221216W,41670057Z
92222630J,29979763E
92223147R,07764351B
92224233Y,66742489P
92224751H,21730445E
92225028L,37259345N
92225096H,15899198B
92225747W,38091963F
92226698X,93905949P
92226832Y,67654662R
92227441V,43855660L
92233209N,81254699T
92233628V,16182096D
92233876N,48012186P
92235233N,55722653R
92235769L,67204364C
92237244E,54964402Z
92237591R,17191805H
92237716B,91895669C
92238687Q,88285517V
92239446Q,24022869J
92239815V,69419508B
92240705X,86237168W
92241308S,27863828H
92241554P,12752439C
92241780G,23496368M
92242977M,43627203K
92243651N,94026696M
92244385X,29753897Q
92245168B,65702549J
92246010W,52784112D
92246096L,11602153X
92246567F,89901934V
92246878L,97336838X
92248451M,79805074L
92248729F,21685045R
92249007D,60246564L
92249970Y,51011701R
92250321N,71901613W
92255669R,64518167Q
92255774Z,22979104B
92255919K,85695652K
92258690D,63601483C
92258989D,32610784G
92259316Z,16294661N
92259528L,79357477W
92260232X,99143970D
92262536Z,49481698G
92265203J,23792679F
92265357Y,46396762N
92266082H,11888229N
92266221L,81893173V
92266253M,40890592L
92266346Y,51227450X
92268068A,28424346A
92269272B,98276996C
92269803J,09909109L
92270232M,58718691J
92271101T,64288626S
92271317D,18543525M
92272042K,07614911W
92272054X,29978055Q
92274981Q,79241784E
92275471T,58504010Z
92275601S,91034206E
92275653K,12961478N
92276219N,90052525G
92277453G,64262580M
92277543W,76100455X
92279394J,68877369M
92280646T,36868568M
92280709V,76541896N
92281124H,12442745K
92282077M,86035189D
92282620L,46475956V
92283132W,76998449S
92283163X,02505947M
92283553D,73119485R
92286577C,37585336R
92286659X,49898278P
92286679F,97303583J
92288172M,01126325S
92288987S,92844951T
92289647P,29466749T
92290274Z,17451361L
92290458Z,98421091C
92291535X,25207631E
92291635H,04540316R
92291726V,15506951Y
92292183Z,27638945Y
92292195A,07337376P
92292374K,01357146P
92292874S,57413540C
92292953W,91287231R
92293308N,11061925Y
92294903C,66341873Y
92294914P,64491056E
92297929X,98544448M
92298896B,50975143J
92299994M,62585073A
92300232J,99051973N
92302084W,10823045G
92303088V,13128277S
92304555N,75422336T
92305724P,70501434V
92308054S,49068042A
92308396N,37923213P
92310177E,27829558H
92312439F,79038336D
92312533D,20114488E
92313138Q,91486365R
92313465K,76447646Q
92313777B,18818639Q
92313968H,77967923Q
92316460A,20644504A
92318828W,45567485T
92319913Y,81825841Y
92320154V,54036892W
92320362H,00050144G
92320756K,47153704R
92320940K,92224713A
92321618D,53444727H
92322233A,41848680L
92322461R,13901271W
92323786S,46429900F
92324379X,23731813E
92327411Y,90378103V
92327985M,17115762J
92328326R,22536880P
92328386S,81604430Q
92330618Q,64345856K
92330994R,68141942A
92334249J,16696604F
92334733Z,67278182P
92335355S,53240526B
92335376J,01127026A
92335879X,00264278P
92336422R,53760751E
92340422E,07632715G
92341462G,10976129T
92341497Q,88938593P
92342599Z,74730196E
92342856H,43350403A
92343064L,83701739R
92343088C,14756212X
92343488Y,41167514K
92344334R,86660016H
92345537P,38926602E
92345838X,71325780C
92345852R,18688033G
92347669R,23809948A
92349200Z,26887144Y
92349656X,89711959E
92349727N,23903013X
92349986H,47745767K
92351081D,88642247V
92352274Y,49230693K
92352304J,81696204C
92353205V,62636352S
92353558W,85972101X
92354514S,32917123Y
92354887C,41828371L
92356450L,17531928V
